"month","region","year","sal_AltF74","sal_AltF80","sal_AltNoX2","sal_AltS74","sal_AltS74F80"
1,"NW Suisun",1944,2.69591296003576,2.80099597159679,2.70120909802072,2.80244855458208,2.73844111488369
1,"NW Suisun",1945,2.35951408776376,2.35449296990745,2.3333307891795,2.35102509090768,2.36135690937223
1,"NW Suisun",1946,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",1947,2.85045126706236,2.85594905041228,2.85605176983175,2.85522617963031,2.8494965917296
1,"NW Suisun",1948,2.62777195989841,2.62755355318347,2.62769014110997,2.62741002327187,2.62777384795283
1,"NW Suisun",1949,2.78964033576992,2.78719188644179,2.78900576662845,2.78778362781126,2.79214265786695
1,"NW Suisun",1950,1.63838454481439,1.63780004186324,1.63528205015158,1.6403895150164,1.63910555951502
1,"NW Suisun",1951,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",1952,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",1953,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",1954,1.88801658095581,1.56196599106538,1.10053935853672,1.73674603877685,1.95649811411713
1,"NW Suisun",1955,1.28291593816225,1.28512783742853,1.34409602531887,1.3484403172626,1.28636232621239
1,"NW Suisun",1956,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",1957,2.69703490824334,2.79264599638632,2.83790671910441,2.8699749394131,2.72828661837248
1,"NW Suisun",1958,0.220227745817725,0.214867924327356,0.220942051540083,0.226062575942651,0.218880451572423
1,"NW Suisun",1959,1.50839647834797,1.44955783721649,1.44610934829062,1.5145200057566,1.57387061177507
1,"NW Suisun",1960,2.7407757966659,2.78147888368605,2.88916390372624,2.86167105055904,2.79194237091367
1,"NW Suisun",1961,2.59184249285232,2.59052356735788,2.58983778830076,2.59147158051338,2.59216589022031
1,"NW Suisun",1962,2.76079141359631,2.760505356519,2.76004087548598,2.76050349120593,2.76073245486452
1,"NW Suisun",1963,1.46450525067564,1.46294431455984,1.46414153190653,1.46467556426391,1.46450303299505
1,"NW Suisun",1964,1.72098574726722,1.69194635555144,1.70827968412962,1.80803139810426,1.74491795885771
1,"NW Suisun",1965,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",1966,1.09809525663177,0.859912868039364,0.866720064177667,0.938168103455963,1.05618222994313
1,"NW Suisun",1967,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",1968,1.63294734169483,1.66758614920839,1.69580014563334,1.39357535135587,1.65912007667862
1,"NW Suisun",1969,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",1970,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",1971,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",1972,1.9240863569285,1.8723545283346,1.86155099132195,1.98640475175095,1.9338736141268
1,"NW Suisun",1973,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",1974,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",1975,2.78846159211137,2.83571406335534,2.70347213667304,2.69483277885309,2.84344771545201
1,"NW Suisun",1976,2.86123303406028,2.95568419694348,2.94792092715452,2.98171266137669,2.92625526737541
1,"NW Suisun",1977,2.98273230513184,2.90882860647187,3.04961693573517,2.93066593159042,2.84113377010306
1,"NW Suisun",1978,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",1979,1.83825817652443,1.88021182286809,1.88376292201243,1.96418402906712,1.89664584919421
1,"NW Suisun",1980,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",1981,1.7925258010337,1.79196878031399,1.46955562188891,1.57575411681852,1.83056695090802
1,"NW Suisun",1982,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",1983,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",1984,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",1985,2.08476187355529,2.01954970132288,2.03633753077378,2.05566529110729,2.06182662178954
1,"NW Suisun",1986,1.23934006248889,1.24270916110795,1.32317423728482,1.24043551734921,1.24260900270292
1,"NW Suisun",1987,2.51385055895932,2.57473514505806,2.76999767288747,2.83525161299879,2.63435290127899
1,"NW Suisun",1988,1.00620718296372,1.02071574824728,1.04013583270804,1.01643421260408,1.01832975783788
1,"NW Suisun",1989,2.85981315752116,2.85088957091782,2.84923060460445,2.84894744973924,2.85062044843867
1,"NW Suisun",1990,2.45762286655502,2.4575969565714,2.44889858540308,2.45415328461172,2.4594627263152
1,"NW Suisun",1991,2.98273230513184,2.9803678976883,2.98441101673186,2.98495262461458,2.98242381584946
1,"NW Suisun",1992,2.49917192500056,2.93886231739343,2.93883085386761,2.93887829808277,2.93902434708962
1,"NW Suisun",1993,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",1994,2.73881251378467,2.7547794975554,2.66080513013948,2.32375378772202,2.77706521775163
1,"NW Suisun",1995,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",1996,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",1997,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",1998,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",1999,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",2000,1.60179236949533,1.36849943553939,1.12936739777616,1.37111167253361,1.67866088326805
1,"NW Suisun",2001,2.55325730208694,2.54294332031672,2.60121329533533,2.62546196977928,2.6125496674805
1,"NW Suisun",2002,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",2003,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",2004,0.258029839949138,0.17831909544525,0.12105050119666,0.20631287003236,0.319326653829078
1,"NW Suisun",2005,0.146229645332589,0.135674863329687,0.161229009227041,0.18732981972885,0.18129124076953
1,"NW Suisun",2006,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",2007,2.33261820427027,2.3392422862109,2.39203066268593,2.40162548457766,2.34256977043755
1,"NW Suisun",2008,1.25886662188791,1.23764922452418,1.20884252312951,1.23862295586383,1.2427386189698
1,"NW Suisun",2009,2.88388803199221,2.88418166071532,2.88509917632442,2.88406874379341,2.88458641780072
